Gender;Age;Breed;Number;Housing;Zone;Exterior Access;Observations;Timide;Calme;Effrayé;Intelligent;Vigilant;Perséverant;Affectueux;Amical;Solitaire;Brutal;Dominant;Aggressive;Impulsive;Predictable;Distracted
M;Moinsde1;ORI;1;ML;PU;2;2;3;2;2;4;3;4;4;4;2;3;3;1;4;4;3
F;2a10;EUR;4;ML;PU;1;2;2;5;5;2;3;4;5;5;5;1;1;5;3;4;2
M;Plusde10;NR;4;ML;PU;3;3;1;5;1;4;4;4;5;5;2;2;1;2;1;1;3
F;1a2;EUR;2;ASB;PU;0;3;2;2;1;2;2;2;2;2;1;1;1;1;1;2;2
F;1a2;BRI;1;ML;U;0;1;5;5;3;5;5;4;5;2;5;1;1;3;1;4;1
M;2a10;NR;4;ML;R;0;2;2;4;2;5;4;4;5;3;3;2;3;2;4;4;4
M;2a10;NR;2;MI;R;3;2;2;3;2;3;4;4;4;5;3;1;1;2;1;3;2
F;2a10;NR;2;MI;R;3;1;4;2;2;3;4;4;4;2;5;1;4;4;2;3;1
F;Moinsde1;MCO;3;ML;R;0;2;1;3;1;4;4;4;4;4;1;2;2;1;4;3;4
M;Moinsde1;NR;1;MI;PU;0;2;5;4;3;4;5;4;1;1;4;2;4;3;4;4;5
M;Moinsde1;SAV;1;AAB;U;0;1;3;4;3;5;3;4;5;5;4;3;5;3;3;3;2
M;1a2;BRI;1;MI;PU;0;2;4;3;4;5;4;4;4;4;3;1;2;1;1;1;1
F;Plusde10;NR;1;ML;R;1;2;2;5;4;4;4;3;5;4;4;2;3;4;3;4;2
F;2a10;NR;1;AAB;PU;1;2;4;3;4;4;4;4;4;1;4;1;3;4;3;4;2
M;Plusde10;NSP;4;MI;U;2;2;4;4;4;5;4;5;5;4;3;3;2;2;2;3;2
F;2a10;CHA;1;MI;R;0;2;4;5;2;4;4;3;5;2;4;2;2;3;3;4;2
F;Plusde10;RAG;1;ML;R;1;3;3;5;4;5;5;5;5;2;3;1;5;4;2;4;4
M;1a2;NR;1;ML;PU;1;3;1;3;3;5;5;5;5;5;1;2;4;4;2;4;2
F;Moinsde1;EUR;2;AAB;U;3;2;4;4;4;5;5;5;5;2;1;1;5;3;4;3;4
M;Moinsde1;EUR;2;MI;R;0;2;4;2;2;4;5;4;5;2;2;1;1;3;3;4;4
M;2a10;ORI;1;ASB;U;0;2;3;4;3;5;5;5;5;5;1;3;1;3;3;1;1
F;Moinsde1;SAV;3;MI;R;1;2;1;3;1;5;4;4;5;4;2;3;4;1;2;4;4
